MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1570327,-118.634522,250.1240008881071,0.007000121,0.1,55.88382,1638995330000
Fix,GT,34.1570327,-118.6345219,250.12399564681925,0.004242503,0.099,55.884247,1638995331000
Fix,GT,34.1570326,-118.6345218,250.1240028117325,0.0064029177,0.1,55.884827,1638995332000
Fix,GT,34.1570326,-118.6345218,250.12399746638468,0.017262572,0.1,55.884888,1638995333000
Fix,GT,34.1570325,-118.634522,250.1230047371589,0.031257402,0.1,55.886383,1638995334000
Fix,GT,34.1570325,-118.6345224,250.12299949589203,0.056142963,0.1,55.884796,1638995335000
Fix,GT,34.157032,-118.6345241,250.12700666270317,0.3689553,0.1,56.051453,1638995336000
Fix,GT,34.1570286,-118.6345291,250.12600151266676,0.7523986,0.1,58.91873,1638995337000
Fix,GT,34.157023,-118.6345369,250.12799385567533,0.9885349,0.1,66.39484,1638995338000
Fix,GT,34.1570166,-118.6345476,250.1300006763899,1.2367239,0.1,78.38162,1638995339000
Fix,GT,34.1570108,-118.6345633,250.11999802375317,1.5746908,0.1,94.07938,1638995340000
Fix,GT,34.1570082,-118.6345841,250.09200503581152,1.8286145,0.1,113.640045,1638995341000
Fix,GT,34.1570114,-118.6346055,250.0639948784888,1.4788679,0.1,133.64627,1638995342000
Fix,GT,34.1570163,-118.6346165,250.0480046216937,0.52344203,0.1,142.29016,1638995343000
Fix,GT,34.1570171,-118.6346184,250.04699688542928,0.11448983,0.1,142.8566,1638995344000
Fix,GT,34.1570162,-118.6346186,250.04300392144037,0.36735305,0.1,143.80688,1638995345000
Fix,GT,34.157009,-118.6346152,250.04599887929635,1.3764148,0.1,148.02295,1638995346000
Fix,GT,34.1569945,-118.6346058,250.07099375792703,2.2119315,0.099,149.0448,1638995347000
Fix,GT,34.1569755,-118.6345911,250.10800080434063,2.7507277,0.1,147.50085,1638995348000
Fix,GT,34.1569536,-118.6345744,250.1520032869355,2.8476295,0.1,147.57019,1638995349000
Fix,GT,34.1569327,-118.6345599,250.18599517446083,2.425804,0.1,150.15448,1638995350000
Fix,GT,34.1569165,-118.6345526,250.19900225292488,1.579316,0.1,157.05963,1638995351000
Fix,GT,34.1569033,-118.6345508,250.1979971501168,1.5405196,0.1,166.61945,1638995352000
Fix,GT,34.1568877,-118.6345532,250.23800706325156,2.212378,0.1,179.97375,1638995353000
Fix,GT,34.1568672,-118.6345636,250.27800419233816,2.8402107,0.1,197.00052,1638995354000
Fix,GT,34.1568469,-118.6345824,250.30499636786715,2.9351213,0.1,213.7224,1638995355000
Fix,GT,34.1568332,-118.6346033,250.3500061631472,2.166135,0.1,227.1762,1638995356000
Fix,GT,34.1568256,-118.6346199,250.3209980118693,1.8098997,0.1,235.60503,1638995357000
Fix,GT,34.156821,-118.6346414,250.07800489002852,2.3769934,0.1,249.86353,1638995358000
Fix,GT,34.1568277,-118.6346685,249.9419981538569,3.2898576,0.1,277.8565,1638995359000
Fix,GT,34.1568487,-118.6347033,250.03100738614324,5.2561274,0.1,303.3464,1638995360000
Fix,GT,34.1568905,-118.6347494,250.01499956642027,7.586119,0.1,317.85278,1638995361000
Fix,GT,34.1569529,-118.6348033,249.91200660797756,9.359166,0.1,325.28314,1638995362000
Fix,GT,34.1570291,-118.6348601,249.7769989174469,10.554566,0.1,328.3653,1638995363000
Fix,GT,34.1571141,-118.6349214,249.642993715776,11.293702,0.099,328.72906,1638995364000
Fix,GT,34.1572025,-118.6349871,249.48800093021163,11.724673,0.1,327.19324,1638995365000
Fix,GT,34.1572937,-118.6350583,249.3130000203848,12.35149,0.1,326.70892,1638995365999
Fix,GT,34.1573901,-118.6351337,249.1390000815392,13.190159,0.1,326.5345,1638995366999
Fix,GT,34.1574908,-118.6352134,248.95400016522407,13.395219,0.1,326.4351,1638995367999
Fix,GT,34.1575915,-118.6352926,248.8140001066923,13.271989,0.1,326.52148,1638995368999
Fix,GT,34.1576925,-118.6353702,248.6830000553131,13.572529,0.1,327.7996,1638995369999
Fix,GT,34.1578009,-118.635451,248.6840001022816,14.939989,0.1,328.0136,1638995370999
Fix,GT,34.1579185,-118.635541,248.78699949336053,15.6633005,0.1,326.60275,1638995371999
Fix,GT,34.1580347,-118.6356356,248.94599967205525,15.406964,0.1,324.76892,1638995372999
Fix,GT,34.1581458,-118.6357333,249.19999917590616,15.024937,0.1,322.92813,1638995373999
Fix,GT,34.1582477,-118.6358283,249.6049986615777,13.245875,0.1,321.29358,1638995374999
Fix,GT,34.158332,-118.6359118,250.01599871450665,11.061961,0.1,319.66928,1638995375999
Fix,GT,34.1584019,-118.6359851,250.3629986975193,9.427434,0.1,317.98398,1638995376999
Fix,GT,34.1584558,-118.6360455,250.6839990952015,6.736296,0.1,316.44504,1638995377999
Fix,GT,34.1584896,-118.6360853,250.90999953186517,3.7196863,0.1,315.16382,1638995378999
Fix,GT,34.158505,-118.6361038,251.00399977111812,1.1922933,0.1,314.89456,1638995379999
Fix,GT,34.1585075,-118.6361068,251.00700019550325,0.03342159,0.1,314.8623,1638995380999
Fix,GT,34.1585076,-118.6361068,251.011,0.0053851497,0.1,314.86484,1638995381999
